station_a,station_b,distance_km,n_both_active_hours,n_offline_a,n_offline_b,n_both_offline,p_offline_a,p_offline_b,expected_both_offline_if_independent,cooccurrence_ratio
IDERNA7,INUQAT10,964.6519669204855,3547,1505,384,183,0.4243022272342825,0.10826050183253454,162.9320552579645,1.1231675664451826
IDERNA7,INUQAT8,996.9731894094574,3686,1549,78,36,0.42023874118285404,0.021161150298426478,32.778621812262614,1.0982768038933308
IDERNA7,INUQAT9,952.5027726449039,3613,1531,325,145,0.4237475781898699,0.08995294768890119,137.7179629117077,1.0528764507863138
IDERNA7,ITAHLI1,899.500482650326,3616,1528,166,37,0.4225663716814159,0.0459070796460177,70.14601769911505,0.5274711411089383
IDERNA7,ITRIPO32,864.5254129555497,3320,1395,1562,674,0.42018072289156627,0.47048192771084335,656.3222891566264,1.026934497175297
IDERNA7,ITRIPO33,885.7391731930908,3509,1417,371,126,0.40381875178113424,0.10572812767170134,149.8167569108008,0.8410274164125644
IDERNA7,IZAWIY5,940.2632273964591,3797,1669,283,136,0.4395575454306031,0.07453252567816697,124.39478535686068,1.0932934174840736
IDERNA7,IZAWIY7,920.0230422562837,3661,1545,228,98,0.4220158426659383,0.06227806610215788,96.21961212783393,1.0185033781865667
IJABAL13,IJABAL14,33.45645019118276,3740,45,110,1,0.012032085561497326,0.029411764705882353,1.3235294117647058,0.7555555555555555
IJABAL13,IJABAL15,82.10549236633982,3739,45,53,4,0.01203530355710083,0.014174913078363199,0.637871088526344,6.270859538784067
IJABAL13,IJABAL16,31.866283381169104,3642,43,341,10,0.011806699615595826,0.09362987369577155,4.026084568918177,2.4838027688740367
IJABAL13,IJANZO2,89.92938493990863,3674,43,100,1,0.011703864997278171,0.027218290691344585,1.170386499727817,0.8544186046511628
IJABAL13,IJANZO3,81.11755843028665,3708,43,157,3,0.011596548004314994,0.04234088457389428,1.8206580366774543,1.64775588801659
IJABAL13,IJANZO4,89.46174147239883,2892,37,2231,29,0.012793914246196404,0.7714384508990318,28.543222683264176,1.0160030043490376
IJABAL13,IMISRA12,239.84361477022549,3571,43,232,7,0.012041444973396808,0.06496779613553627,2.7936152338280595,2.5057137129109863
IJABAL13,IMISRA13,192.27243790098822,3729,47,151,3,0.012603915258782515,0.040493429873960846,1.9031912040761596,1.576299845004932
IJABAL13,IMURQU5,103.13415606278379,3375,36,586,8,0.010666666666666666,0.17362962962962963,6.250666666666667,1.2798634812286689
IJABAL13,IMURQU6,170.38736812008094,3075,37,1025,22,0.012032520325203253,0.3333333333333333,12.333333333333334,1.7837837837837838
IJABAL13,IMURQU7,148.99830172057844,3624,43,313,7,0.011865342163355408,0.08636865342163355,3.713852097130243,1.8848354261089233
IJABAL13,INALUT3,110.75209089632294,3700,43,1187,9,0.011621621621621621,0.3208108108108108,13.794864864864865,0.6524166846260849
IJABAL13,INUQAT10,77.54473646582836,3632,43,369,3,0.01183920704845815,0.10159691629955947,4.368667400881057,0.6867082624314617
IJABAL13,INUQAT8,104.05417579065458,3748,43,77,0,0.011472785485592316,0.02054429028815368,0.8834044823906082,0.0
IJABAL13,INUQAT9,71.17124072208189,3625,43,298,1,0.01186206896551724,0.08220689655172414,3.5348965517241377,0.2828937100046824
IJABAL13,ITAHLI1,63.8461051856256,3691,43,167,1,0.01164995936060688,0.04524519100514766,1.945543213221349,0.5139952652833868
IJABAL13,ITRIPO32,116.89041244723101,3191,40,1527,25,0.012535255405828893,0.47853337511751803,19.14133500470072,1.3060740013097576
IJABAL13,ITRIPO33,103.78550838175924,3648,43,366,5,0.011787280701754386,0.10032894736842106,4.314144736842105,1.1589782691574533
IJABAL13,IZAWIY5,72.38040442615741,3710,45,239,1,0.012129380053908356,0.06442048517520216,2.8989218328840973,0.3449558344955834
IJABAL13,IZAWIY7,76.41907860742482,3742,43,180,1,0.011491181186531267,0.048102618920363445,2.0684126135756284,0.4834625322997415
IJABAL14,IJABAL15,85.28231110391717,3756,113,51,3,0.030085197018104366,0.013578274760383386,1.5343450479233225,1.955231650182197
IJABAL14,IJABAL16,61.346686985627144,3731,76,350,6,0.020369874028410614,0.09380863039399624,7.129455909943714,0.8415789473684211
IJABAL14,IJANZO2,120.77470975706721,3691,96,105,2,0.026009211595773504,0.028447575182877268,2.7309672175562176,0.7323412698412699
IJABAL14,IJANZO3,110.63597178143812,3729,101,152,13,0.02708500938589434,0.04076159828372218,4.11692142665594,3.157699322563835
IJABAL14,IJANZO4,122.46874518789797,2905,96,2253,80,0.033046471600688465,0.7755593803786575,74.45370051635112,1.074493268234946
IJABAL14,IMISRA12,266.698960629721,3612,102,236,3,0.02823920265780731,0.06533776301218161,6.664451827242525,0.45014955134596213
IJABAL14,IMISRA13,222.50612529224233,3753,108,152,4,0.02877697841726619,0.040500932587263526,4.374100719424461,0.9144736842105262
IJABAL14,IMURQU5,134.4112324394784,3381,105,602,17,0.031055900621118012,0.17805383022774326,18.695652173913043,0.9093023255813953
IJABAL14,IMURQU6,202.9586593072099,3122,113,1031,30,0.0361947469570788,0.3302370275464446,37.31678411274824,0.8039277958507507
IJABAL14,IMURQU7,180.79481207059501,3761,108,293,10,0.028715767083222547,0.07790481254985376,8.413719755384207,1.188534951333586
IJABAL14,INALUT3,83.7952546209,3718,103,1147,38,0.027703066164604627,0.30849919311457774,31.77541689080151,1.1958930430587178
IJABAL14,INUQAT10,94.359902798529,3662,94,374,2,0.025669033315128344,0.10212998361551065,9.600218459858,0.20832859255888042
IJABAL14,INUQAT8,111.80213749887702,3786,102,78,0,0.02694136291600634,0.020602218700475437,2.1014263074484947,0.0
IJABAL14,INUQAT9,92.02904549294217,3713,103,302,13,0.02774037166711554,0.08133584702396983,8.377592243468893,1.5517585031826657
IJABAL14,ITAHLI1,97.0723612175785,3763,114,166,7,0.03029497741163965,0.044113739038001594,5.028966250332182,1.3919361657154934
IJABAL14,ITRIPO32,149.78260862213034,3294,102,1557,30,0.030965391621129327,0.4726775956284153,48.21311475409836,0.6222373342400543
IJABAL14,ITRIPO33,135.60872779209276,3632,97,366,2,0.02670704845814978,0.10077092511013216,9.77477973568282,0.20460819108782602
IJABAL14,IZAWIY5,96.79694996813967,3823,108,263,13,0.028250065393669893,0.06879414072717761,7.429767198535182,1.7497183495282354
IJABAL14,IZAWIY7,105.28201419465785,3783,113,204,7,0.029870473169442243,0.05392545598731166,6.093576526566218,1.148750650702759
IJABAL15,IJABAL16,69.46939500837128,3730,53,341,1,0.014209115281501341,0.09142091152815013,4.845308310991957,0.20638521551485642
IJABAL15,IJANZO2,151.05435916737272,3738,53,105,0,0.014178705189941144,0.028089887640449437,1.4887640449438202,0.0
IJABAL15,IJANZO3,147.53978424443474,3701,53,157,11,0.0143204539313699,0.04242096730613348,2.2483112672250742,4.8925609902655935
IJABAL15,IJANZO4,138.12019934535755,2880,38,2225,36,0.013194444444444444,0.7725694444444444,29.357638888888886,1.2262566528681256
IJABAL15,IMISRA12,207.20354518117992,3683,53,236,2,0.014390442573988596,0.06407819712191148,3.3961444474613085,0.5889031020147106
IJABAL15,IMISRA13,179.59216451489485,3728,51,153,1,0.013680257510729614,0.04104077253218884,2.0930793991416308,0.477764962194028
IJABAL15,IMURQU5,110.53390860955385,3428,51,588,6,0.014877479579929988,0.17152858809801633,8.747957992998833,0.685874349739896
IJABAL15,IMURQU6,178.13764031540532,3027,47,1018,9,0.015526924347538818,0.33630657416584075,15.806408985794517,0.5693892906408059
IJABAL15,IMURQU7,151.87924400931558,3727,53,318,11,0.014220552723370002,0.08532331634022002,4.522135766031661,2.4324789367509196
IJABAL15,INALUT3,163.10496485011507,3716,53,1186,15,0.01426264800861141,0.3191603875134553,16.91550053821313,0.886760635082249
IJABAL15,INUQAT10,158.49115103593937,3624,53,383,3,0.014624724061810155,0.10568432671081678,5.601269315673289,0.5355928863490813
IJABAL15,INUQAT8,186.14218165332824,3761,53,53,1,0.014091996809359212,0.014091996809359212,0.7468758308960382,1.3389106443574228
IJABAL15,INUQAT9,150.33871305209857,3689,51,275,0,0.013824884792626729,0.07454594741122256,3.801843317972351,0.0
IJABAL15,ITAHLI1,115.894655947808,3748,53,162,27,0.014140875133404483,0.0432230522945571,2.290821771611526,11.786163522012579
